# x_local, y_local
455335.5678,4443614.4489
455335.6033,4443614.4136
455335.6383,4443614.3779
455335.6728,4443614.3418
455335.7068,4443614.3051
455335.7404,4443614.2681
455335.7736,4443614.2307
455335.8065,4443614.1930
455335.8393,4443614.1553
455335.8726,4443614.1180
455335.9059,4443614.0807
455335.9386,4443614.0429
455335.9710,4443614.0049
455336.0033,4443613.9668
455336.0355,4443613.9286
455336.0671,4443613.8900
455336.0984,4443613.8511
455336.1297,4443613.8121
455336.1614,4443613.7735
455336.1943,4443613.7357
455336.2272,4443613.6980
455336.2588,4443613.6594
455336.2892,4443613.6199
455336.3185,4443613.5797
455336.3469,4443613.5389
455336.3750,4443613.4978
455336.4033,4443613.4568
455336.4325,4443613.4164
455336.4625,4443613.3766
455336.4937,4443613.3376
455336.5250,4443613.2986
455336.5551,4443613.2587
455336.5839,4443613.2179
455336.6116,4443613.1763
455336.6387,4443613.1343
455336.6657,4443613.0922
455336.6928,4443613.0501
455336.7204,4443613.0085
455336.7490,4443612.9675
455336.7785,4443612.9272
455336.8096,4443612.8880
455336.8411,4443612.8491
455336.8720,4443612.8099
455336.9019,4443612.7701
455336.9308,4443612.7295
455336.9584,4443612.6881
455336.9850,4443612.6459
455337.0113,4443612.6034
455337.0373,4443612.5607
455337.0630,4443612.5178
455337.0887,4443612.4750
455337.1132,4443612.4315
455337.1363,4443612.3872
455337.1586,4443612.3425
455337.1811,4443612.2979
455337.2048,4443612.2540
455337.2303,4443612.2112
455337.2571,4443612.1692
455337.2844,4443612.1275
455337.3115,4443612.0856
455337.3376,4443612.0432
455337.3621,4443611.9998
455337.3851,4443611.9555
455337.4075,4443611.9108
455337.4303,4443611.8662
455337.4546,4443611.8226
455337.4804,4443611.7799
455337.5074,4443611.7379
455337.5349,4443611.6961
455337.5620,4443611.6542
455337.5880,4443611.6116
455337.6126,4443611.5682
455337.6353,4443611.5238
455337.6565,4443611.4786
455337.6768,4443611.4329
455337.6963,4443611.3867
455337.7163,4443611.3408
455337.7382,4443611.2960
455337.7617,4443611.2521
455337.7866,4443611.2090
455337.8126,4443611.1665
455337.8389,4443611.1242
455337.8647,4443611.0816
455337.8895,4443611.0384
455337.9131,4443610.9944
455337.9360,4443610.9499
455337.9591,4443610.9056
455337.9828,4443610.8616
455338.0062,4443610.8175
455338.0293,4443610.7733
455338.0515,4443610.7286
455338.0724,4443610.6834
455338.0917,4443610.6374
455338.1100,4443610.5908
455338.1277,4443610.5439
455338.1463,4443610.4974
455338.1667,4443610.4519
455338.1886,4443610.4071
455338.2119,4443610.3631
455338.2360,4443610.3194
455338.2602,4443610.2757
455338.2838,4443610.2318
455338.3062,4443610.1872
455338.3270,4443610.1419
455338.3459,4443610.0955
455338.3637,4443610.0487
455338.3812,4443610.0019
455338.3981,4443609.9548
455338.4152,4443609.9079
455338.4326,4443609.8610
455338.4502,4443609.8142
455338.4676,4443609.7673
455338.4855,4443609.7207
455338.5040,4443609.6742
455338.5223,4443609.6277
455338.5395,4443609.5809
455338.5556,4443609.5337
455338.5703,4443609.4860
455338.5842,4443609.4381
455338.5978,4443609.3901
455338.6121,4443609.3423
455338.6275,4443609.2949
455338.6447,4443609.2482
455338.6636,4443609.2019
455338.6828,4443609.1558
455338.7015,4443609.1095
455338.7189,4443609.0628
455338.7342,4443609.0153
455338.7471,4443608.9670
455338.7576,4443608.9181
455338.7676,4443608.8692
455338.7775,4443608.8202
455338.7877,4443608.7714
455338.7983,4443608.7226
455338.8103,4443608.6742
455338.8240,4443608.6262
455338.8388,4443608.5785
455338.8537,4443608.5308
455338.8679,4443608.4830
455338.8808,4443608.4348
455338.8930,4443608.3864
455338.9045,4443608.3378
455338.9153,4443608.2890
455338.9260,4443608.2402
455338.9373,4443608.1915
455338.9489,4443608.1429
455338.9607,4443608.0943
455338.9730,4443608.0458
455338.9852,4443607.9974
455338.9970,4443607.9488
455339.0084,4443607.9002
455339.0196,4443607.8515
455339.0312,4443607.8028
455339.0434,4443607.7544
455339.0558,4443607.7060
455339.0682,4443607.6576
455339.0808,4443607.6092
455339.0940,4443607.5610
455339.1068,4443607.5126
455339.1186,4443607.4641
455339.1295,4443607.4153
455339.1396,4443607.3664
455339.1493,4443607.3173
455339.1590,4443607.2683
455339.1686,4443607.2192
455339.1781,4443607.1701
455339.1876,4443607.1210
455339.1976,4443607.0720
455339.2085,4443607.0233
455339.2199,4443606.9746
